,Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3,Description,Count of text reviews,book_id
34248,57605,Pat the Bunny,1:514,18,4:4951,total:22013,15,8,Golden Books,388,1999,,Dorothy Kunhardt,4.07,2:1370,5:10532,0307444058,3:4646,,,34248
34278,57650,Past Imperfect,1:1,320,4:11,total:31,1,10,DAW,2,2001,eng,Martin H. Greenberg,3.32,2:3,5:2,0756400120,3:14,,,34278
34320,57736,Shoeless Joe,1:307,272,4:4824,total:12796,28,4,Turtleback Books,633,1999,eng,W.P. Kinsella,3.97,2:611,5:4394,078572902X,3:2660,,,34320
34339,57770,The Pianist,1:1500,224,4:21620,total:67235,24,3,Picador,13,2005,,WÅadysÅaw Szpilman,4.24,2:2009,5:33436,0752864297,3:8670,,,34339
34396,57853,Tao Te Ching: A New English Version,1:1515,144,4:29777,total:106751,5,9,Harper Perennial Modern Classics,74,2006,eng,Lao Tzu,4.3,2:3356,5:57855,0061142662,3:14248,,,34396
34397,57855,Tao Te Ching,1:1515,168,4:29777,total:106751,18,10,Everyman's Library,11,1994,,Lao Tzu,4.3,2:3356,5:57855,0679433163,3:14248,,,34397
34401,57864,"Tokyo Suckerpunch (Billy Chaka, #1)",1:14,336,4:178,total:482,28,11,HarperPerennial,51,2000,eng,Isaac Adamson,3.71,2:38,5:115,0380812916,3:137,,,34401
34410,57882,"Public Enemies: America's Greatest Crime Wave and the Birth of the FBI, 1933-34",1:76,640,4:2179,total:5188,28,6,Penguin Books,366,2005,eng,Bryan Burrough,3.96,2:220,5:1598,0143035371,3:1115,,,34410
34417,57891,Battle Royale,1:699,617,4:17722,total:51405,26,2,"VIZ, LLC",3440,2003,eng,Koushun Takami,4.23,2:1681,5:24296,156931778X,3:7007,,,34417
34435,57936,Seven Pillars of Wisdom: A Triumph,1:126,784,4:2460,total:6774,1,6,Anchor,420,1991,eng,T.E. Lawrence,4.01,2:346,5:2496,0385418957,3:1346,,,34435
34438,57948,Batman: The Dark Knight Returns,1:3481,224,4:46137,total:156359,28,5,DC Comics,336,1997,eng,Frank Miller,4.26,2:5486,5:81331,1563893428,3:19924,,,34438
34439,57950,Swords and Deviltry (Fafhrd and the Gray Mouser #1),1:173,208,4:4252,total:10779,1,12,DH Press,420,2006,eng,Fritz Leiber,3.88,2:581,5:3097,1595820795,3:2676,,,34439
34440,57951,"The Watchman (Elvis Cole, #11; Joe Pike, #1)",1:331,292,4:9605,total:23125,27,2,Simon & Schuster,894,2007,eng,Robert Crais,4.1,2:643,5:8560,0743281632,3:3986,,,34440
34472,58033,Four Great Tragedies: Hamlet / Othello / King Lear / Macbeth,1:185,592,4:4327,total:15812,1,6,Signet Book,62,1998,eng,William Shakespeare,4.41,2:297,5:9342,0451527291,3:1661,,,34472
34498,58077,"Grave Sight (Harper Connelly, #1)",1:1077,293,4:21337,total:59231,26,9,Berkley Books,2184,2006,eng,Charlaine Harris,3.86,2:3634,5:17650,0425212890,3:15533,,,34498
34510,58095,Suicide: A Study in Sociology,1:46,405,4:1117,total:2885,1,2,Free Press,67,1997,,Ãmile Durkheim,3.81,2:166,5:735,0684836327,3:821,,,34510
34524,58148,"PÃ³rtico (La saga de los Heechee, #1)",1:446,368,4:14456,total:37998,1,1,Ediciones B,36,2007,,Frederik Pohl,4.07,2:1442,5:14327,8466622985,3:7327,,,34524
34526,58153,"Segunda FundaciÃ³n (FoundaciÃ³n, #3)",1:613,314,4:49434,total:134758,30,7,DeBolsillo,59,2005,spa,Isaac Asimov,4.26,2:2819,5:62097,8497596765,3:19795,,,34526
34535,58169,"Catching the Big Fish: Meditation, Consciousness, and Creativity",1:198,181,4:3289,total:9360,1,1,Tarcherperigee,792,2007,en-US,David Lynch,3.72,2:823,5:2328,1585425400,3:2722,,,34535
34536,58170,The Rainbow Fish,1:2474,32,4:27748,total:113427,1,1,NorthSouth,1,1992,,Marcus Pfister,4.17,2:5635,5:57723,0735817480,3:19847,,,34536
34537,58173,Fish: A Memoir of a Boy in a Man's Prison,1:26,324,4:602,total:1626,11,10,Da Capo Press,150,2006,eng,T.J. Parsell,3.89,2:114,5:506,0786717939,3:378,,,34537
34538,58174,Promise at Dawn,1:51,348,4:1686,total:5385,17,4,New Directions,103,1987,eng,Romain Gary,4.3,2:162,5:2787,0811210162,3:699,,,34538
34553,58200,La folle allure,1:51,176,4:517,total:1620,2,5,Gallimard,16,1997,,Christian Bobin,3.75,2:159,5:482,2070402029,3:411,,,34553
34554,58201,The Secrets of Francis of Assisi: A Meditation,1:25,112,4:172,total:599,11,5,Shambhala,0,1999,,Christian Bobin,3.64,2:70,5:167,1570623686,3:165,,,34554
34562,58233,"From Dawn to Decadence: 500 Years of Western Cultural Life, 1500 to the Present",1:89,828,4:1343,total:4076,15,5,Harper Perennial,218,2001,eng,Jacques Barzun,4.12,2:183,5:1792,0060928832,3:669,,,34562
34571,58244,ØºØ±Ø¨ Ø²Ø¯Ú¯Û,1:167,187,4:271,total:1185,28,6,Mazda Pub,75,1997,per,Jalal Al-e Ahmad,3.13,2:201,5:209,0939214075,3:337,,,34571
34572,58250,Ø§Ø² Ø±ÙØ¬Û Ú©Ù ÙÛâØ¨Ø±ÛÙ,1:72,107,4:182,total:907,6,4,Ø§ÙØªØ´Ø§Ø±Ø§Øª Ø§ÙÛØ±Ú©Ø¨ÛØ±,67,1987,per,Jalal Al-e Ahmad,3.04,2:201,5:100,9649049843,3:352,,,34572
34586,58306,The Love Wife,1:46,400,4:338,total:1029,11,10,Vintage,129,2005,,Gish Jen,3.3,2:140,5:103,140007651X,3:402,,,34586
34587,58308,Who's Irish?: Stories,1:11,224,4:261,total:613,13,6,Vintage,53,2000,,Gish Jen,3.63,2:52,5:99,0375705929,3:190,,,34587
34588,58314,The Elementary Particles,1:1004,272,4:11139,total:29396,13,11,Vintage,844,2001,eng,Michel Houellebecq,3.8,2:2293,5:8323,0375727019,3:6637,,,34588
34621,58372,Whatever,1:328,160,4:4097,total:10979,14,1,Serpent's Tail,255,1999,eng,Michel Houellebecq,3.5700000000000003,2:1110,5:1985,1852425849,3:3459,,,34621
34622,58373,The Possibility of an Island,1:309,337,4:4358,total:11323,23,5,Knopf,18,2006,eng,Michel Houellebecq,3.81,2:865,5:3148,0307263495,3:2643,,,34622
34623,58374,"H.P. Lovecraft: Against the World, Against Life",1:24,247,4:1053,total:2521,2,5,"McSweeney's, Believer Books",110,2005,eng,Michel Houellebecq,3.94,2:101,5:728,1932416188,3:615,,,34623
34625,58376,Lanzarote,1:120,87,4:903,total:3119,3,6,Vintage,127,2004,eng,Michel Houellebecq,3.25,2:504,5:309,009944836X,3:1283,,,34625
34628,58383,Story of the Eye,1:908,127,4:5017,total:15633,26,4,Penguin Classics,69,2001,eng,Georges Bataille,3.65,2:1587,5:4289,0141185384,3:3832,,,34628
34639,58407,En busca de Klingsor,1:37,444,4:535,total:1487,19,2,Planeta Publishing,65,2018,spa,Jorge Volpi,3.88,2:90,5:470,8432216097,3:355,,,34639
34721,58530,"El oro del rey (Las aventuras del capitÃ¡n Alatriste, #4)",1:24,278,4:1361,total:3068,1,12,Alfaguara,48,2000,,Arturo PÃ©rez-Reverte,3.85,2:110,5:698,8420442402,3:875,,,34721
34727,58544,Snopes,1:4,1072,4:224,total:706,15,3,Modern Library,40,1994,en-US,William Faulkner,4.36,2:13,5:378,0679600922,3:87,,,34727
34750,58571,Guerra y paz,1:7103,704,4:76521,total:250282,28,9,Edimat Libros,11,2003,spa,Leo Tolstoy,4.12,2:12179,5:114579,8484036545,3:39900,,,34750
34784,58652,"Lost Girls (Lost Girls, #1-3)",1:271,320,4:1723,total:5397,26,8,Top Shelf Productions,433,2006,eng,Alan Moore,3.6,2:615,5:1347,1891830740,3:1441,,,34784
34892,58822,"Big Stone Gap (Big Stone Gap, #1)",1:566,320,4:16251,total:41754,1,1,Fawcett Books,2621,2003,eng,Adriana Trigiani,3.85,2:2297,5:11375,0345459202,3:11265,,,34892
34923,58872,Dirty Blonde,1:132,448,4:3053,total:8029,30,1,Harper,475,2007,,Lisa Scottoline,3.71,2:543,5:1734,0060742917,3:2567,,,34923
34927,58891,The Magic Circle,1:32,128,4:402,total:1167,1,6,Puffin Books,110,1995,,Donna Jo Napoli,3.74,2:97,5:309,0140374396,3:327,,,34927
34944,58919,The Bright Forever,1:126,282,4:1610,total:4570,4,4,Broadway Books,608,2006,eng,Lee  Martin,3.5,2:495,5:713,0307209865,3:1626,,,34944
34945,58922,The Runaway Bunny,1:1914,48,4:16485,total:63795,24,1,HarperCollins,813,2017,en-US,Margaret Wise Brown,4.11,2:3452,5:30688,0060775823,3:11256,,,34945
34950,58927,The Country Bunny and the Little Gold Shoes,1:97,48,4:2406,total:10022,1,10,Houghton Mifflin,0,1989,eng,DuBose Heyward,4.33,2:292,5:5715,0395521408,3:1512,,,34950
35034,59091,Tobacco Road,1:471,192,4:4761,total:13413,1,2,University of Georgia Press,561,1995,eng,Erskine Caldwell,3.73,2:1139,5:3553,082031661X,3:3489,,,35034
35047,59131,Gracias por el fuego,1:16,261,4:918,total:2249,11,7,Editorial Seix Barral,86,2006,,Mario Benedetti,4.04,2:87,5:767,9507315101,3:461,,,35047
35049,59140,Lost Illusions,1:135,84,4:2707,total:8256,3,11,Hard Press,0,2006,eng,HonorÃ© de Balzac,4.16,2:332,5:3747,,3:1335,,,35049
35051,59142,EugÃ©nie Grandet,1:309,200,4:6473,total:16864,28,8,Oxford University Press,342,2003,eng,HonorÃ© de Balzac,3.8,2:1171,5:4362,019280474X,3:4549,,,35051
35052,59143,PÃ¨re Goriot,1:855,294,4:16055,total:42990,7,12,Signet,24,2004,,HonorÃ© de Balzac,3.85,2:3037,5:12532,0451529596,3:10511,,,35052
35053,59144,Cousin Bette,1:234,468,4:2899,total:8121,12,2,Modern Library,300,2002,eng,HonorÃ© de Balzac,3.85,2:553,5:2514,0375759077,3:1921,,,35053
35058,59151,Chess Story,1:335,104,4:23747,total:61872,9,12,NYRB Classics,1157,2005,eng,Stefan Zweig,4.29,2:1155,5:28995,1590171691,3:7640,,,35058
35068,59180,El proceso,1:5098,320,4:78309,total:215816,1,4,Panamericana Editorial,0,2003,spa,Franz Kafka,3.97,2:12546,5:77400,9583004677,3:42463,,,35068
35069,59181,El Proceso,1:5098,224,4:78309,total:215816,1,10,Edimat Libros,4,2008,spa,Franz Kafka,3.97,2:12546,5:77400,849764364X,3:42463,,,35069
35070,59187,La metamorfosis,1:21240,112,4:207305,total:589270,28,4,Edimat Libros,6,2004,spa,Franz Kafka,3.81,2:44810,5:179792,8484034445,3:136123,,,35070
35086,59219,"The Talisman (The Talisman, #1)",1:1415,656,4:33161,total:104672,15,9,,2246,2001,eng,Stephen King,4.13,2:4945,5:46497,0375507779,3:18654,,,35086
35116,59263,"The Golem's Eye (Bartimaeus, #2)",1:1621,562,4:30553,total:82940,1,1,"Little, Brown Books for Young Readers",1500,2006,eng,Jonathan Stroud,4.1,2:2900,5:33463,0786836547,3:14403,,,35116
35117,59264,"Ptolemy's Gate (Bartimaeus, #3)",1:1021,501,4:26155,total:78507,1,1,Hyperion/Miramax,1584,2006,eng,Jonathan Stroud,4.26,2:2127,5:38367,0786818611,3:10837,,,35117
35120,59267,"The Amulet of Samarkand (Bartimaeus, #1)",1:2346,480,4:39365,total:109482,7,10,Corgi Childrens,132,2004,eng,Jonathan Stroud,4.01,2:5788,5:40796,0552550299,3:21187,,,35120
35126,59285,Luckiest Man: The Life and Death of Lou Gehrig,1:69,432,4:1568,total:4596,3,4,Simon  Schuster,227,2006,eng,Jonathan Eig,4.21,2:137,5:2144,0743268938,3:678,,,35126
35135,59304,El hobbit,1:56815,360,4:814746,total:2749199,28,7,Minotauro,20,1985,spa,J.R.R. Tolkien,4.27,2:91028,5:1442797,8445070371,3:343813,,,35135
35180,59410,Inez,1:52,150,4:179,total:637,1,4,Bloomsbury Publishing PLC,35,2004,eng,Carlos Fuentes,3.24,2:89,5:83,0747568162,3:234,,,35180
35225,59486,FouchÃ©,1:3,284,4:650,total:1924,16,2,LGF,81,2000,fre,Stefan Zweig,4.44,2:28,5:1076,2253147966,3:167,,,35225
35316,59649,Working: People Talk about What They Do All Day and How They Feel about What They Do,1:34,640,4:1740,total:4681,1,1,New Press,316,1997,eng,Studs Terkel,4.22,2:124,5:2078,1565843428,3:705,,,35316
35325,59660,The Emperor,1:35,167,4:2361,total:5670,13,3,Vintage,214,1989,,Ryszard KapuÅciÅski,4.12,2:172,5:2105,0679722033,3:997,,,35325
35328,59664,Travels with Herodotus,1:40,288,4:2357,total:5811,5,6,Knopf,298,2007,eng,Ryszard KapuÅciÅski,4.06,2:255,5:2065,1400043387,3:1094,,,35328
35349,59715,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,1:27,254,4:3588,total:20481,17,10,Sphere,413,1990,eng,Bill Watterson,4.74,2:68,5:16037,0751507954,3:761,,,35349
35388,59779,The Castle of Crossed Destinies,1:187,144,4:1939,total:5714,2,10,Vintage Classics,159,1997,eng,Italo Calvino,3.52,2:680,5:1035,,3:1873,,,35388
35389,59780,Cosmicomics,1:143,153,4:4900,total:14427,4,10,Mariner Books,706,1976,eng,Italo Calvino,4.2,2:503,5:6588,0156226006,3:2293,,,35389
35394,59793,How to Survive a Robot Uprising: Tips on Defending Yourself Against the Coming Rebellion,1:60,176,4:489,total:1632,1,11,Bloomsbury Publishing PLC,176,2005,en-US,Daniel H. Wilson,3.42,2:214,5:265,1582345929,3:604,,,35394
35412,59819,"Tears of the Moon (Gallaghers of Ardmore, #2)",1:128,346,4:10455,total:29706,1,7,Berkley Books,626,2000,eng,Nora Roberts,4.19,2:737,5:12967,0515128546,3:5419,,,35412
35414,59821,"Red Lily (In the Garden, #3)",1:198,351,4:12688,total:34561,1,12,Berkley Books,743,2005,eng,Nora Roberts,4.08,2:1272,5:13105,0515139408,3:7298,,,35414
35417,59825,"Inner Harbor (Chesapeake Bay Saga, #3)",1:106,324,4:10660,total:29214,1,1,Berkley Books,533,1999,eng,Nora Roberts,4.17,2:682,5:12251,0515124214,3:5515,,,35417
35420,59829,"Dance Upon the Air (Three Sisters Island, #1)",1:702,400,4:20607,total:61887,2,8,Piatkus,1371,2001,eng,Nora Roberts,4.2,2:1690,5:28378,0749932775,3:10510,,,35420
35421,59830,"Heaven and Earth (Three Sisters Island, #2)",1:198,416,4:13119,total:36217,1,2,Judy Piatkus,734,2002,eng,Nora Roberts,4.14,2:1062,5:14833,0749932821,3:7005,,,35421
35432,59857,Second Chance,1:137,288,4:1563,total:5297,31,5,Dell,128,2005,eng,Danielle Steel,3.74,2:432,5:1534,0440240794,3:1631,,,35432
35433,59858,Going Home,1:145,400,4:1104,total:3875,1,11,Pocket Books,8,1991,eng,Danielle Steel,3.7,2:348,5:1128,0671749412,3:1150,,,35433
35447,59904,Thurston House,1:90,416,4:1813,total:5845,4,8,,111,1994,eng,Danielle Steel,3.94,2:331,5:2101,0751505617,3:1510,,,35447
35452,59921,The Telling (Hainish Cycle #8),1:76,231,4:2219,total:5553,1,8,Ace,356,2003,eng,Ursula K. Le Guin,3.91,2:256,5:1622,0441011233,3:1380,,,35452
35454,59924,The Lathe of Heaven,1:321,176,4:19861,total:48201,19,8,Harper Perennial Modern Classics,2386,2003,eng,Ursula K. Le Guin,4.11,2:1485,5:17921,0060512741,3:8613,,,35454
35466,59952,300,1:975,88,4:14690,total:43093,28,12,Dark Horse,835,1999,eng,Frank Miller,3.95,2:2513,5:15287,1569714029,3:9628,,,35466
35477,59969,"Sin City, Vol. 2: A Dame to Kill For (Sin City, #2)",1:268,208,4:9806,total:25940,2,11,Dark Horse,353,2010,eng,Frank Miller,4.17,2:767,5:10869,1593072945,3:4230,,,35477
35484,59978,"Sin City, Vol. 4: That Yellow Bastard (Sin City, #4)",1:275,240,4:8735,total:24606,1,3,Dark Horse,253,2005,eng,Frank Miller,4.23,2:660,5:11315,,3:3621,,,35484
35485,59980,Batman: Year One,1:5606,144,4:61424,total:198646,10,1,DC Comics,2257,2007,eng,Frank Miller,4.22,2:6530,5:99084,1401207529,3:26002,,,35485
35487,59982,Hard Boiled,1:61,128,4:852,total:2522,24,9,Titan,134,2004,eng,Frank Miller,3.72,2:234,5:655,1840237511,3:720,,,35487
35512,60030,Tomorrow in the Battle Think on Me,1:98,320,4:1581,total:4365,17,10,New Directions,132,2001,eng,Javier MarÃ­as,4.0,2:271,5:1620,0811214826,3:795,,,35512
35514,60032,All Souls,1:62,210,4:901,total:2355,17,11,New Directions,10,2000,,Javier MarÃ­as,3.66,2:187,5:481,0811214532,3:724,,,35514
35519,60038,The Man of Feeling,1:20,182,4:455,total:1058,27,2,New Directions,48,2007,,Javier MarÃ­as,3.7,2:77,5:200,0811216772,3:306,,,35519
35524,60044,Class: A Guide Through the American Status System,1:44,208,4:862,total:2301,1,10,Touchstone,298,1992,en-GB,Paul Fussell,3.94,2:136,5:768,0671792253,3:491,,,35524
35533,60057,"Lucia, Lucia",1:135,305,4:7044,total:17175,27,9,Fawcett Books,1305,2005,eng,Adriana Trigiani,3.94,2:698,5:5054,0345472446,3:4244,,,35533
35565,60106,Mr Palomar,1:83,128,4:2015,total:5423,11,7,Vintage Classics,203,1994,eng,Italo Calvino,3.9,2:332,5:1686,0099430878,3:1307,,,35565
35570,60113,"Making Comics: Storytelling Secrets of Comics, Manga and Graphic Novels",1:109,264,4:2263,total:7699,5,9,William Morrow Paperbacks,286,2006,eng,Scott McCloud,4.32,2:174,5:4137,,3:1016,,,35570
35572,60116,Reinventing Comics: How Imagination and Technology Are Revolutionizing an Art Form,1:59,256,4:1007,total:3238,1,8,William Morrow Paperbacks,152,2000,eng,Scott McCloud,3.88,2:213,5:1090,0060953500,3:869,,,35572
35585,60137,La Ciudad y Los Perros,1:226,472,4:6210,total:15758,1,11,Alfaguara,4,2000,,Mario Vargas Llosa,4.13,2:526,5:6250,9707702117,3:2546,,,35585
35587,60141,"Stormbringer (The Elric Saga, #6)",1:45,220,4:3139,total:8534,15,9,Ace,94,1987,eng,Michael Moorcock,4.16,2:267,5:3553,0441787541,3:1530,,,35587
35588,60142,La ciudad y los perros,1:226,446,4:6210,total:15758,1,11,Punto de Lectura,371,2000,spa,Mario Vargas Llosa,4.13,2:526,5:6250,8466309152,3:2546,,,35588
35597,60154,"The Sailor on the Seas of Fate (The Elric Saga, #2)",1:53,225,4:3733,total:9329,12,4,Grafton,204,1989,eng,Michael Moorcock,3.94,2:411,5:2766,0586208771,3:2366,,,35597
35614,60178,The Wonderful Wizard of Oz,1:5969,220,4:118609,total:348112,3,10,Signet,60,2006,,L. Frank Baum,3.99,2:17072,5:127193,0451530292,3:79269,,,35614
35638,60211,"The Shadow of the Torturer (The Book of the New Sun, #1)",1:756,262,4:6656,total:20703,3,6,Pocket Books,1085,1984,eng,Gene Wolfe,3.8,2:1942,5:6660,0671540661,3:4689,,,35638
35674,60253,Negra espalda del tiempo,1:12,404,4:223,total:600,1,11,Alfaguara,11,1998,,Javier MarÃ­as,3.86,2:48,5:181,8420483834,3:136,,,35674
35723,60316,The Selected Poetry,1:16,160,4:573,total:1722,10,9,Modern Library,60,2002,eng,Edna St. Vincent Millay,4.18,2:61,5:778,0375761233,3:294,,,35723
35731,60331,Winner of the National Book Award,1:103,336,4:640,total:2006,1,10,Picador,290,2004,,Jincy Willett,3.35,2:307,5:287,031242423X,3:669,,,35731
35767,60400,"The Ruins of Gorlan (Ranger's Apprentice, #1)",1:1644,249,4:38672,total:116626,8,6,Puffin Books,6332,2006,eng,John Flanagan,4.22,2:3690,5:55384,0142406635,3:17236,,,35767
35782,60424,The Nimrod Flipout,1:41,167,4:1856,total:4587,4,4,Farrar Straus Giroux,335,2006,eng,Etgar Keret,3.95,2:216,5:1411,0374222436,3:1063,,,35782
35789,60431,Andy Goldsworthy: A Collaboration with Nature,1:3097,120,4:7649,total:33602,1,9,Harry N. Abrams,123,1990,,Andy Goldsworthy,3.84,2:2528,5:14702,0810933519,3:5626,,,35789
35811,60463,The Empty House,1:109,249,4:1463,total:4231,15,12,St. Martin's Paperbacks,122,1996,,Rosamunde Pilcher,3.76,2:308,5:1145,0312961278,3:1206,,,35811
35812,60464,Another View,1:67,272,4:766,total:2507,15,2,St. Martin's Paperbacks,112,1997,,Rosamunde Pilcher,3.67,2:219,5:632,0312961316,3:823,,,35812
35816,60471,Coming Home,1:116,977,4:5536,total:16593,1,7,Hodder & Stoughton,738,2005,eng,Rosamunde Pilcher,4.3,2:342,5:8277,0340752475,3:2322,,,35816
35822,60488,Sleep Toward Heaven,1:25,295,4:937,total:2145,17,2,Harper Perennial,243,2004,en-US,Amanda Eyre Ward,3.83,2:117,5:503,0060582294,3:563,,,35822
35832,60507,"Jeeves in the Morning (Jeeves, #8)",1:19,256,4:3072,total:8031,5,2,Harper & Row,137,1990,eng,P.G. Wodehouse,4.34,2:79,5:3919,0060972823,3:942,,,35832
35834,60510,"Poison Study (Study, #1)",1:2237,416,4:48888,total:134122,1,3,Mira,8718,2007,eng,Maria V. Snyder,4.13,2:5228,5:56360,0778324338,3:21409,,,35834
35861,60551,The Book on the Taboo Against Knowing Who You Are,1:185,163,4:4614,total:14680,28,8,Vintage,711,1989,,Alan W. Watts,4.27,2:505,5:7425,0679723005,3:1951,,,35861
35896,60653,"Cows, Pigs, Wars, and Witches: The Riddles of Culture",1:43,288,4:1284,total:3127,17,12,Vintage,173,1989,eng,Marvin Harris,3.91,2:160,5:904,0679724680,3:736,,,35896
35903,60662,El camino,1:104,224,4:1753,total:4675,1,1,Ediciones Destino,122,2006,spa,Miguel Delibes,3.95,2:301,5:1587,8423334783,3:930,,,35903
35920,60700,A Simple Heart,1:133,53,4:1369,total:4454,1,8,Penguin,11,1996,eng,Gustave Flaubert,3.53,2:493,5:883,0146001532,3:1576,,,35920
35948,60748,"A Child Called ""It"" (Dave Pelzer, #1)",1:8611,184,4:112525,total:367918,1,9,Health Communications Inc,14493,1995,eng,Dave Pelzer,4.11,2:18039,5:165300,1558743669,3:63443,,,35948
35951,60756,Un mundo para Julius,1:35,480,4:860,total:2359,1,6,Planeta Publishing,92,2005,,Alfredo Bryce Echenique,4.13,2:115,5:999,987580004X,3:350,,,35951
35961,60792,The Accidental Tourist,1:1256,352,4:36723,total:93213,9,4,Ballantine Books,1856,2002,eng,Anne Tyler,3.91,2:4899,5:27745,0345452003,3:22590,,,35961
35993,60848,The Regulators,1:1986,475,4:21050,total:69709,1,10,Dutton Books,0,1996,eng,Richard Bachman,3.7,2:6676,5:19288,0525942246,3:20709,,,35993
36016,60885,Woman: An Intimate Geography,1:60,464,4:1408,total:4133,15,2,Anchor,332,2000,eng,Natalie Angier,4.14,2:182,5:1797,0385498411,3:686,,,36016
36031,60924,"Seed to Harvest (Patternmaster, #1-4)",1:27,767,4:1559,total:4428,5,1,Grand Central Publishing,235,2007,en-US,Octavia E. Butler,4.34,2:85,5:2261,0446698903,3:496,,,36031
36032,60925,Fledgling,1:480,310,4:6712,total:18580,2,1,Grand Central Publishing,2272,2007,eng,Octavia E. Butler,3.87,2:1309,5:5819,0446696161,3:4260,,,36032
36033,60926,"Lilith's Brood (Xenogenesis, #1-3)",1:91,746,4:4638,total:13999,1,6,Grand Central Publishing,842,2000,en-US,Octavia E. Butler,4.34,2:356,5:7356,0446676101,3:1558,,,36033
36034,60927,"Adulthood Rites (Xenogenesis, #2)",1:48,277,4:5123,total:12129,1,6,Warner Books (NY),6,1988,eng,Octavia E. Butler,4.16,2:244,5:4644,0446514225,3:2070,,,36034
36035,60931,Kindred,1:615,287,4:32233,total:85103,1,2,Beacon Press,8315,2004,eng,Octavia E. Butler,4.24,2:2348,5:38526,0807083690,3:11381,,,36035
36036,60932,"Parable of the Talents (Earthseed, #2)",1:110,448,4:7511,total:20412,1,11,Warner Books (NY),1257,2001,eng,Octavia E. Butler,4.25,2:507,5:9365,0446610380,3:2919,,,36036
36037,60934,"Imago (Xenogenesis, #3)",1:47,224,4:4235,total:10911,1,4,Aspect,609,1997,eng,Octavia E. Butler,4.19,2:282,5:4557,0446603635,3:1790,,,36037
36038,60935,Possessing the Secret of Joy,1:165,288,4:5251,total:14015,2,12,Washington Square Press,459,2005,,Alice Walker,4.08,2:526,5:5339,0671789457,3:2734,,,36038
36111,61049,Autobiography of Red,1:247,149,4:4259,total:15202,27,7,Vintage,1332,1999,eng,Anne Carson,4.32,2:531,5:8427,037570129X,3:1738,,,36111
36147,61115,Possible Side Effects,1:486,291,4:17309,total:44217,17,4,Picador USA,1321,2007,eng,Augusten Burroughs,3.99,2:1790,5:14551,031242681X,3:10081,,,36147
36148,61118,"My Traitor's Heart: A South African Exile Returns to Face His Country, His Tribe, and His Conscience",1:61,349,4:1119,total:3330,9,3,Grove Press,177,2000,eng,Rian Malan,4.23,2:109,5:1607,0802136842,3:434,,,36148
36164,61145,Myst: The Book of Atrus (Myst #1),1:60,422,4:1843,total:5194,1,11,Hyperion,1,1996,eng,Rand Miller,4.02,2:257,5:1927,0786889225,3:1107,,,36164
36168,61150,"Shut Up, Stop Whining, and Get a Life: A Kick-Butt Approach to a Better Life",1:25,229,4:364,total:1080,1,11,John Wiley & Sons,116,2005,,Larry Winget,3.93,2:70,5:380,047177345X,3:241,,,36168
36170,61152,"The Book of Ti'ana (Myst, #2)",1:21,577,4:1313,total:3512,1,11,Hyperion,100,1997,eng,Rand Miller,4.1,2:133,5:1354,0786889209,3:691,,,36170
36188,61179,"Ringworld (Ringworld, #1)",1:1488,288,4:36533,total:99796,9,6,Gollancz,2551,2005,eng,Larry Niven,3.96,2:5724,5:33963,0575077026,3:22088,,,36188
36234,61264,Silk,1:711,91,4:12608,total:34333,25,8,Vintage Books USA,1047,1998,eng,Alessandro Baricco,3.84,2:2520,5:10142,0375703829,3:8352,,,36234
36236,61266,Novecento. Un monologo,1:199,62,4:7042,total:20018,13,10,Feltrinelli,620,1994,ita,Alessandro Baricco,4.18,2:747,5:8901,8807813025,3:3129,,,36236
36321,61416,Don Juan Tenorio,1:113,140,4:1813,total:5297,1,6,Juan de La Cuesta-Hispanic Monographs,0,2004,,JosÃ© Zorrilla,3.66,2:460,5:1190,1589770188,3:1721,,,36321
36347,61463,"The Winter Queen (Erast Fandorin Mysteries, #1)",1:133,256,4:3924,total:10094,25,3,Phoenix Press,541,2004,eng,Boris Akunin,3.89,2:588,5:2939,0753817594,3:2510,,,36347
36352,61469,Eneida,1:1850,630,4:34985,total:103166,1,1,Ediciones Catedra,9,1991,,Virgil,3.84,2:7402,5:31295,8437608988,3:27634,,,36352
36360,61505,A Little History of the World,1:243,284,4:6538,total:17655,13,10,Yale University Press,1130,2005,eng,E.H. Gombrich,4.12,2:679,5:7161,0300108834,3:3034,,,36360
36379,61535,The Selfish Gene,1:3591,360,4:43366,total:131172,25,5,"Oxford University Press, USA",2796,2006,eng,Richard Dawkins,4.14,2:5347,5:59159,0199291152,3:19709,,,36379
36380,61536,"A Devil's Chaplain: Reflections on Hope, Lies, Science, and Love",1:174,263,4:2615,total:7408,27,10,Mariner Books,96,2004,eng,Richard Dawkins,3.99,2:341,5:2694,0618485392,3:1584,,,36380
36389,61549,Mr. Popper's Penguins,1:941,139,4:20281,total:61150,2,11,"Little, Brown and Company",2145,1992,eng,Richard Atwater,3.97,2:3200,5:22014,0316058432,3:14714,,,36389
36390,61550,The Logic of Scientific Discovery,1:87,544,4:1585,total:4496,31,3,Routledge,99,2002,eng,Karl Popper,4.02,2:223,5:1704,0415278449,3:897,,,36390
